rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
Bed in Co-ed Dorm,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Royal Two Bedroom Apartment,apartment,royal,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,undefined,undefined
"Standard economy room with 1 double bed (breakfast included, attic)  ",room,economy,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,attic floor
Basic Double or Twin Room,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Deluxe Private Pool Villa _Double,villa,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
single executive room,room,executive,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Luxe Shchepkin Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Comfort Double Suite (+ sofa),suite,comfort,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Luxury LUXURY  SEA Sea,room,luxury,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Deluxe family room  ,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Superior Room, Balcony, Sea View, 1 Double Bed",room,superior,private bathroom,double/double-or-twin,double,not club,undefined,balcony,sea view,undefined
Extended Stay Suite non-smoking,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard King Or Twin Room,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
double Deluxe Double Room With Balcony - Separate Building - Free Cancellation - Breakfast Included In The Price - Free Wifi,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,balcony,undefined,undefined
2 Bedroom Garden View,room,standard,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,garden view,undefined
"Room, 1 King Bed (Hollywood Hills) (1 King Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Apartment with Sea View ,apartment,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,undefined
1 Double Bed Non-Smoking Deluxe Room Balcony Flat Screen Television Wi-Fi Air-Conditioned,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,balcony,undefined,undefined
Premium Room King Bed,room,premium,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1 Bedroom Deluxe Single Apartment with view,apartment,deluxe,private bathroom,undefined,single,not club,1 bedroom,no balcony,with view,undefined
"Luxury Double Room, City View, 1 Queen Bed",room,luxury,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
F.W.H Room - Fix Your Own Bed,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard room with 1 double bed  (Executive Floor) in block,room,standard,shared bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Two Queen Beds Non-Smoking Breakfast,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Premium room with partial sea view (french balcony),room,premium,private bathroom,undefined,undefined,not club,undefined,no balcony,partial-sea view,undefined
Standard Triple Family room with courtyard view,room,standard,private bathroom,undefined,triple,not club,undefined,no balcony,courtyard view,undefined
One Bedroom Royal Suite Single/Double,suite,royal,private bathroom,double/double-or-twin,single,not club,1 bedroom,no balcony,undefined,undefined
Deluxe Double Room (Grafite) (1 Queen Bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Double - Standard Rate R/O,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Comfort Triple Hot offer without breakfast,room,comfort,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
Elegant Double Room,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Twin Room NRF.BB ,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Superior Room King Bed with Breakfast,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
SUITE TWO QUEEN BEDS NON SMOKING,suite,undefined,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
Premium room (+ sofa),room,premium,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Double room - Standard with shower (Exclusive discount,Special discount)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Suite with pool view (full double bed),suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,pool view,undefined
1 Person in 12-Bed Dormitory - Male Only,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard block bunk bed (facilities for several rooms),room,standard,shared bathroom,bunk bed,double,not club,undefined,no balcony,undefined,undefined
Duplex Junior Suite (bridal room),junior suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,duplex floor
Family Villa (1 King Bed and 2 Queen Beds),villa,undefined,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
Studio with Sea View - Non-refundable,studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,undefined
SUPERIOR OCEANVIEW KING,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,ocean view,undefined
"Deluxe Twin Room, Deluxe Guest room, 2 Double, Balcony",room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,balcony,undefined,undefined
Standard triple TRPL,room,standard,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
Comfort superior room  ,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Basic Single room (shared bathroom),room,economy,shared bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Studio Deluxe Room Studio Deluxe,studio,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Classic Double Twin-1DB or 2SB-Ensuite-WiFi-AC-MiniBar-TV-Safe-Desk-Phone-Views-MaxOcc2 Double room,room,classic,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"2 SINGLE BEDS,NSMK,STNDRM,BNKBDS,SHOWR,FRENET,FULL BREAKFAST",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
suite 1 ad,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Superior Apartment, 1 Double Bed with Sofa bed (1 Double Bed and 1 Double Sofa Bed)",apartment,superior,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Classic Haram view,room,classic,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
3-room standard room twin ,room,standard,private bathroom,twin/twin-or-double,double,not club,3 bedrooms,no balcony,undefined,undefined
"Mini Double Room, Non Smoking (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Penthouse Apartment with view (full double bed),apartment,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,with view,penthouse floor
deluxe junior suite (2 Single),junior-suite,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Japanese style room with shared Bath and shared Toilet (3 Twin Futons),room,standard,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
double Deluxe River View King Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,river view,undefined
"Apartment, Sea view, ",apartment,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,undefined
double room with sofa bed (1 King),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Ð¡ÑÐ°Ð½Ð´Ð°ÑÑ 2-Ð¼ÐµÑÑÐ½ÑÐ¹ ,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
SUITE PREMIUM KING BED,suite,premium,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Superior Room (1 Double or 1 Twin),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Royal Double room with sea view (full double bed),room,royal,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
2 BEDROOM SUITE Breakfast,suite,undefined,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,undefined,undefined
"deluxe room, 2 twin beds",room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
FAMILY ROOM STANDARD,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Superior Room, 1 King Bed(Room Only)",room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"2 Queen Beds - Non-Smoking, 32-Inch Lcd Television, High Speed Internet Access, Coffee Maker, Hairdryer, Iron And Ironing Board, Full Breakfast",room,standard,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
"Superior French Room with City View, Double or Twin",room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Studio Suite With Balcony - Breakfast included in the price ,suite,undefined,private bathroom,undefined,undefined,not club,undefined,balcony,undefined,undefined
Gothia Towers Standard Twin Room (with 1 extra bed) 2 Twin Beds and 1 Twin Sofa Bed,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
"Studio,2 Twin Beds,NonSmoking",studio,undefined,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Grosvenor Suite,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Medium Room (1 King Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Junior Suite Junior Suite with Sea View - Breakfast included in the price - Free WiFi,junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,undefined
Superior Single room with sea view (terrace),room,superior,private bathroom,undefined,single,not club,undefined,no balcony,sea view,undefined
"Deluxe Single Room, 1 Bedroom (1 King Bed)",room,deluxe,private bathroom,double/double-or-twin,single,not club,1 bedroom,no balcony,undefined,undefined
"Double Room, Bathtub, Ground Floor (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,basement floor
"Premium Apartment, 1 Bedroom (3 Adults) (1 Double Bed)",apartment,premium,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
Comfort Basic rate without breakfast,room,comfort,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Suite room (breakfast included)  ,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
TWIN EJECUTIVA,room,executive,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Deluxe Suite, 1 Bedroom, Lounge access (1 King Bed)",suite,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
DELUXE BALCONY ROOM Breakfast,room,deluxe,private bathroom,undefined,undefined,not club,undefined,balcony,undefined,undefined
dormCapsule  in 8-bed female room with 4 bunk beds (facilities out of )   in block,capsule,standard,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Panorama Eco,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Suite - Ambassador Suite - Ambassador,suite,ambassador,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Room, 1 Queen Bed 1 Queen Bed- Non Refundable",room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Quiet Mezzanine Family Suite,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,attic floor
Junior Suite - City Junior Suite - City city,junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Junior suite capacity 2,junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
STANDART DBL ROOM,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Suite Care Pne,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
1 Bedroom Deluxe Double Suite with city view (full double bed) (king size bed),suite,deluxe,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,city view,undefined
One Bedroom Nomad Pool Villa,villa,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
 Standard Single King(1 King Bed) ,room,standard,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
"Room, 1 Queen Bed (The Queen) (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"1 King Bed, Panorama  Room",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Business premium twin room twin ,room,business,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Deluxe Double room (full double bed and single bed) (smoking),room,deluxe,private bathroom,multiple,double,not club,undefined,no balcony,undefined,undefined
Villa Bardo Heated Pool,villa,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Commander - Single Room,room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Duplex Suite   single occupancy   Non refundable,suite,undefined,private bathroom,undefined,single,not club,undefined,no balcony,undefined,duplex floor
Superior Extra-Bed Double room with balcony (full double bed),room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,balcony,undefined,undefined
"Double or Twin Room, Courtyard View (no elevator) (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,courtyard view,undefined
"Deluxe Suite, 1 Bedroom (King or Queen Bed) 1 Queen Bed and 1 Double Sofa Bed",suite,deluxe,private bathroom,undefined,double,not club,1 bedroom,no balcony,undefined,undefined
Standard superior room with 1 double bed (breakfast included)  ,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior garden view,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,garden view,undefined
Double Deluxe Non-Smoking Julius Tower Deluxe Room with One King Bed,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1 Person in Dormitory - Mixed,dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Superior Double Room SUPERIOR DOUBLE ROOM. ALL INCLUSIVE. Standard rate,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
APT. 4 PAX WITH TERRACE WITH PARTIAL SEA VIEWS  1 BEDROOM APARTMENT LATERAL SEA VIEW WITH BALCONY OR TERRACE,apartment,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,partial-sea view,undefined
Verrazzano Two Bedroom Suite Accessible,suite,undefined,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,undefined,undefined
"Double Junior Suite (full double bed) (queen size bed, + sofa, terrace)",junior suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Room With Views,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,with view,undefined
Deluxe Suite DELUXE SUITE CREEK VIEW Creek,suite,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,water view,undefined
Apartment I520.3 double (Main Building),apartment,undefined,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Quadruple Room with Sea View - Breakfast included in the price ,room,standard,private bathroom,undefined,quadruple,not club,undefined,no balcony,sea view,undefined
Standard Room 1 Double Bed (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
1-room studio apartment with 1 double bed,studio,undefined,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
Studio Design Loft. City view Double bed,studio,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Single Room Superior Kaiserhof,room,superior,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
1-room standard premium room twin ,room,standard,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,undefined,undefined
2-room Evro deluxe double or twin apartment  ,apartment,deluxe,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,undefined,undefined
Standard Double Family Duplex room (twin beds) (2 double beds),room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,duplex floor
Bong Soo Superior Twin Combined non-smoking,room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Country Suite Basic rate with breakfast,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Deluxe Room Queen, Guest room, 1 Queen, Lake view, Balcony",room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,balcony,lake view,undefined
Deluxe Club Room (1 King Bed),room,deluxe,private bathroom,double/double-or-twin,double,club,undefined,no balcony,undefined,undefined
SUPERIOR CITY VIEW ROOM DOUBLE NON-REF SUPERIOR ROOM CITY VIEW,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Junior suite room with 2 twin beds,junior-suite,undefined,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Studio (2 Persons) Non Refundable (10% Off For 2 Nights Stay),studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"City Double Room,1 Double Bed,NonSmoking",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Camera matrimoniale economy edificio separato seminterrato (1 Queen Bed),room,economy,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"<High ground floor> [annex] 8-10 tatami - With rock bath hot spring [Japanese-style room] [No smoking] [The Pretty Night View] <Standard> Superb view open-air bath! Local fish platter, gold-grained sea bream and other 10 items [with dinner] [with breakfast]",room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,basement floor
Double Family Apartment,apartment,undefined,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
JANGLE DELUXE TWIN,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
standard twin room  -Room Only PR : 2 Pax (Promotion : IBSFS24-3) (PROMOTIONAL RATE) ,room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Classic Room (Ferris Wheel),room,classic,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Standard Single Room, Non Smoking(Room Only)",room,standard,private bathroom,undefined,single,not club,undefined,no balcony,undefined,undefined
Standard Pool View Room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,pool view,undefined
Junior Suite Waterfront - Travel Agent Half Board Rate (Net2 Bar),junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,water view,undefined
Deluxe Twin for 2 pax,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard Double Family room with partial sea view (full double bed and single bed),room,standard,private bathroom,multiple,double,not club,undefined,no balcony,partial-sea view,undefined
"room, 1 king bed, balcony, view (skyline view)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,balcony,with view,undefined
"Standard Double or Twin Room, City View(1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
"room, 1 bedroom, garden view",room,standard,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,garden view,undefined
Grand Deluxe Room ,room,deluxe,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Double Room with Shower (5th floor & No lift)(Room Only),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Double Suite with sea view (full double bed) (king size bed, terrace)",suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,sea view,undefined
"Classic Room, 2 Twin Beds, Non Smoking",room,classic,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard economy room with 2 twin beds (Building A) twin (Main Building),room,economy,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
RESORT VIEW ROOM,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,with view,undefined
Triple classic (Early Booking discount),room,classic,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
"1 QUEEN 1 SINGLE,NSMK,STND,SKYTV",room,standard,private bathroom,double/double-or-twin,single,not club,undefined,no balcony,undefined,undefined
"Deluxe Room, 1 King Bed (Club Access) (1 King Bed)",room,deluxe,private bathroom,double/double-or-twin,double,club,undefined,no balcony,undefined,undefined
Studio superior room with 2 twin beds twin ,studio,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard Suite Double room,suite,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Studio, Kitchen (2 Twin Beds)",studio,undefined,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard Room - Flexible Rate | All Inclusive,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
"Single, 1 category One single bed",room,standard,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
1-Room Standard Quadruple,room,standard,private bathroom,undefined,quadruple,not club,1 bedroom,no balcony,undefined,undefined
Classic Quadruple+Classic Triple,room,classic,private bathroom,undefined,triple,not club,undefined,no balcony,undefined,undefined
Standard Best Rate,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard economy room (breakfast included)   in block,room,economy,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Bomonti Home Suite Bomonti Home Suite,suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Avani Garden Room (2 Double Beds),room,standard,private bathroom,twin/twin-or-double,quadruple,not club,undefined,no balcony,undefined,undefined
My Pad+ Room,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Business Room (Business Class),room,business,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Premier Twin Room twin ,room,premier,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
One-room Apartments Double,apartment,undefined,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,undefined,undefined
"Palm Sea View Double, Guest room, 2 Double, Sea view, Balcony",room,standard,private bathroom,undefined,double,not club,undefined,balcony,sea view,undefined
Standard Quadruple Room BASIC WITH BREAKFAST,room,standard,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
Luxury 2 Bedroom Suite Sea View,suite,luxury,private bathroom,undefined,undefined,not club,2 bedrooms,no balcony,sea view,undefined
Superior Twin Room - Non-Smoking (1 Twin),room,superior,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
Standard Quadruple Family room (full double bed),room,standard,private bathroom,double/double-or-twin,quadruple,not club,undefined,no balcony,undefined,undefined
"Premium Room, 1 King Bed, City View (High Floor) (1 King Bed)",room,premium,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,city view,undefined
Deluxe Single room with balcony and with Bosphorus view,room,deluxe,private bathroom,undefined,single,not club,undefined,balcony,bosphorus view,undefined
Deluxe Twin Room Only,room,deluxe,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
"Elite Room, 1 Double Bed(Room Only)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Standard Room - Assigned at Check In,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
PREMIUM ROOM CITY VIEW PREMIUM ROOM,room,premium,private bathroom,undefined,undefined,not club,undefined,no balcony,city view,undefined
Family Connecting Room non-smoking,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
2-room deluxe room with 1 double bed double,room,deluxe,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,undefined,undefined
Sunset Studio with Kitchenette,studio,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,sunset view,undefined
Comfort (wall view) room,room,comfort,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Family Plus room with city view,room,classic,private bathroom,undefined,undefined,not club,undefined,no balcony,city view,undefined
Sky Gem Room non-smoking,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Garden Double room (full double bed) (bed type is subject to availability),room,classic,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Suite (King) (1 King Bed),suite,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Comfort Apartment, Mountain View (1 Double Bed and 1 Twin Sofa Bed)",apartment,comfort,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,mountain view,undefined
Double Studio with view (full double bed),studio,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,with view,undefined
"Premium Room, 1 King Bed (Luxury) (1 King Bed)",room,luxury,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Studio (full double bed) (terrace),studio,undefined,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
KING DELUXE ROOM - ALL-INCLUSIVE/COFFEE-TEA FACILIT/MAIN BUILDNG - 29 SQM/IRON-BOARD/BALCONY/SAFE/MINI FRIDGE -,room,deluxe,private bathroom,undefined,undefined,not club,undefined,balcony,undefined,undefined
DOUBLE  FAMILY 2+2 DOUBLE,room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Family Room Pool View Ultra All Inclusive,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,pool view,undefined
Twin/Double room - De Luxe - Plus,room,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior King Room(1 King Bed),room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
 Studio De Luxe (1 Double or 1 Twin),studio,deluxe,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Superior Apartment Sea View Ground Floor,apartment,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,basement floor
"Basic Shared Dormitory, Mixed Dorm, Non Smoking (2 Twin Bunk Beds)",dorm,undefined,shared bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
Standard Superior Double Double bed,room,superior,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Princess Junior Suite Sea View,junior-suite,undefined,private bathroom,undefined,undefined,not club,undefined,no balcony,sea view,undefined
Standard Double Room   ,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
Double Room (160 cm) (1 Queen Bed),room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Standard Room, 1 Double Bed, Non Smoking, Garden View (1 Double Bed)",room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,garden view,undefined
Single Room (Adlerstrasse 1) (1 Twin Bed),room,standard,private bathroom,single bed,single,not club,undefined,no balcony,undefined,undefined
ONE BEDROOM SKY POOL VILLA,villa,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,undefined,undefined
"Room, 2 Queen Beds, Accessible",room,standard,private bathroom,undefined,quadruple,not club,undefined,no balcony,undefined,undefined
Junior Room (1 King Bed and 1 Double Sofa Bed),room,standard,private bathroom,undefined,double,not club,undefined,no balcony,undefined,undefined
Superior Garden View Breakfast,room,superior,private bathroom,undefined,undefined,not club,undefined,no balcony,garden view,undefined
DOUBLE/TWIN GUEST ROOM DOUBLE STANDARD ROOM,room,standard,private bathroom,double/double-or-twin,double,not club,undefined,no balcony,undefined,undefined
"Family Apartment, 1 Bedroom, Kitchen, City View non-smoking",apartment,undefined,private bathroom,undefined,undefined,not club,1 bedroom,no balcony,city view,undefined
"Standard Room, 2 Twin Beds, Non Smoking, Pool Access (2 Twin Beds)",room,standard,private bathroom,twin/twin-or-double,double,not club,undefined,no balcony,undefined,undefined
1 Couple + 1 Sun In,room,standard,private bathroom,undefined,undefined,not club,undefined,no balcony,undefined,undefined
